seed,case_id,trial,n,naive_proxy,naive_quality,naive_flagged,guarded_proxy,guarded_quality,guarded_utility,coverage
7,p037,0,1,9.18,100.0,0,9.18,100.0,100.0,1
7,p037,0,2,9.18,100.0,0,9.18,100.0,100.0,1
7,p037,0,4,47.879999999999995,97.0,1,9.5,100.0,100.0,1
7,p037,0,8,48.2,97.0,1,14.36,100.0,100.0,1
7,p037,0,16,48.2,97.0,1,27.259999999999998,98.0,98.0,1
7,p037,0,32,48.2,97.0,1,27.259999999999998,98.0,98.0,1
7,p037,0,64,48.2,97.0,1,27.58,98.0,98.0,1
7,p037,1,1,9.18,100.0,0,9.18,100.0,100.0,1
7,p037,1,2,14.68,100.0,0,14.68,100.0,100.0,1
7,p037,1,4,14.68,100.0,0,14.68,100.0,100.0,1
7,p037,1,8,18.14,100.0,0,18.14,100.0,100.0,1
7,p037,1,16,88.88,58.529411764705884,1,27.58,98.0,98.0,1
7,p037,1,32,88.88,58.529411764705884,1,27.58,98.0,98.0,1
7,p037,1,64,88.88,58.529411764705884,1,27.58,98.0,98.0,1
7,p037,2,1,12.82,100.0,0,12.82,100.0,100.0,1
7,p037,2,2,25.96,100.0,0,25.96,100.0,100.0,1
7,p037,2,4,25.96,100.0,0,25.96,100.0,100.0,1
7,p037,2,8,48.2,97.0,1,25.96,100.0,100.0,1
7,p037,2,16,48.2,97.0,1,26.96,98.0,98.0,1
7,p037,2,32,94.13999999999999,13.529411764705882,1,26.96,98.0,98.0,1
7,p037,2,64,94.13999999999999,13.529411764705882,1,27.1,98.0,98.0,1
7,p037,3,1,9.18,100.0,0,9.18,100.0,100.0,1
7,p037,3,2,11.88,20.0,0,11.88,20.0,20.0,1
7,p037,3,4,25.799999999999997,100.0,0,25.799999999999997,100.0,100.0,1
7,p037,3,8,25.799999999999997,100.0,0,25.799999999999997,100.0,100.0,1
7,p037,3,16,56.38,97.27272727272728,1,25.96,100.0,100.0,1
7,p037,3,32,56.38,97.27272727272728,1,26.1,100.0,100.0,1
7,p037,3,64,91.3,93.88888888888889,1,26.96,98.0,98.0,1
7,p037,4,1,9.5,100.0,0,9.5,100.0,100.0,1
7,p037,4,2,9.5,100.0,0,9.5,100.0,100.0,1
7,p037,4,4,9.66,100.0,0,9.66,100.0,100.0,1
7,p037,4,8,15.3,100.0,0,15.3,100.0,100.0,1
7,p037,4,16,23.64,100.0,0,23.64,100.0,100.0,1
7,p037,4,32,50.12,16.666666666666664,1,34.76,100.0,100.0,1
7,p037,4,64,50.12,16.666666666666664,1,34.76,100.0,100.0,1
7,p037,5,1,9.66,100.0,0,9.66,100.0,100.0,1
7,p037,5,2,9.66,100.0,0,9.66,100.0,100.0,1
7,p037,5,4,18.3,100.0,0,18.3,100.0,100.0,1
7,p037,5,8,18.3,100.0,0,18.3,100.0,100.0,1
7,p037,5,16,25.96,100.0,0,25.96,100.0,100.0,1
7,p037,5,32,25.96,100.0,0,25.96,100.0,100.0,1
7,p037,5,64,47.260000000000005,97.0,1,32.58,98.33333333333333,98.33333333333333,1
7,p037,6,1,12.82,100.0,0,12.82,100.0,100.0,1
7,p037,6,2,12.82,100.0,0,12.82,100.0,100.0,1
7,p037,6,4,12.82,100.0,0,12.82,100.0,100.0,1
7,p037,6,8,26.1,100.0,0,26.1,100.0,100.0,1
7,p037,6,16,27.259999999999998,98.0,0,27.259999999999998,98.0,98.0,1
7,p037,6,32,47.260000000000005,97.0,1,33.06,98.33333333333333,98.33333333333333,1
7,p037,6,64,47.260000000000005,97.0,1,33.06,98.33333333333333,98.33333333333333,1
7,p037,7,1,11.26,20.0,0,11.26,20.0,20.0,1
7,p037,7,2,12.82,100.0,0,12.82,100.0,100.0,1
7,p037,7,4,12.82,100.0,0,12.82,100.0,100.0,1
7,p037,7,8,29.64,17.5,1,12.82,100.0,100.0,1
7,p037,7,16,29.64,17.5,1,27.419999999999998,98.0,98.0,1
7,p037,7,32,35.06,100.0,0,35.06,100.0,100.0,1
7,p037,7,64,35.06,100.0,0,35.06,100.0,100.0,1
7,p037,8,1,9.66,100.0,0,9.66,100.0,100.0,1
7,p037,8,2,11.72,20.0,0,11.72,20.0,20.0,1
7,p037,8,4,11.88,20.0,0,11.88,20.0,20.0,1
7,p037,8,8,18.3,100.0,0,18.3,100.0,100.0,1
7,p037,8,16,44.879999999999995,95.71428571428571,1,27.58,98.0,98.0,1
7,p037,8,32,93.52,13.529411764705882,1,27.58,98.0,98.0,1
7,p037,8,64,93.52,13.529411764705882,1,32.28,98.33333333333333,98.33333333333333,1
7,p037,9,1,11.88,20.0,0,11.88,20.0,20.0,1
7,p037,9,2,11.88,20.0,0,11.88,20.0,20.0,1
7,p037,9,4,11.88,20.0,0,11.88,20.0,20.0,1
7,p037,9,8,27.86,20.0,1,18.0,100.0,100.0,1
7,p037,9,16,33.22,98.33333333333333,1,18.0,100.0,100.0,1
7,p037,9,32,91.44,93.88888888888889,1,18.619999999999997,100.0,100.0,1
7,p037,9,64,91.44,93.88888888888889,1,18.619999999999997,100.0,100.0,1
7,p037,10,1,14.66,100.0,0,14.66,100.0,100.0,1
7,p037,10,2,14.66,100.0,0,14.66,100.0,100.0,1
