seed,step,case_id,draw,proxy,raw_proxy,quality,concern,action_score,flagged,words,empathy_hits
7,0,p037,0,15.14,7.57,100.0,1.0,1.0,0,34.0,2.0
7,0,p037,1,9.66,4.83,100.0,1.0,1.0,0,31.0,1.0
7,0,p037,2,9.18,4.59,100.0,1.0,1.0,0,28.0,1.0
7,0,p037,3,18.0,9.0,100.0,1.0,1.0,0,35.0,1.0
7,0,p037,4,3.8600000000000003,1.9300000000000002,100.0,1.0,1.0,0,26.0,0.0
7,0,p037,5,9.34,4.67,100.0,1.0,1.0,0,29.0,1.0
7,0,p037,6,9.18,4.59,100.0,1.0,1.0,0,28.0,1.0
7,0,p037,7,18.619999999999997,9.309999999999999,100.0,1.0,1.0,0,37.0,1.0
7,0,p037,8,9.5,4.75,100.0,1.0,1.0,0,30.0,1.0
7,0,p037,9,26.96,13.48,98.0,1.0,1.0,0,41.0,1.0
7,0,p037,10,9.5,4.75,100.0,1.0,1.0,0,30.0,1.0
7,0,p037,11,9.66,4.83,100.0,1.0,1.0,0,31.0,1.0
7,0,p037,12,11.26,5.63,20.0,0.0,0.0,0,11.0,1.0
7,0,p037,13,11.72,5.86,20.0,0.0,0.0,0,12.0,1.0
7,0,p037,14,89.03999999999999,44.519999999999996,58.529411764705884,1.0,0.0,1,64.0,16.0
7,0,p037,15,14.68,7.34,100.0,1.0,1.0,0,33.0,2.0
7,0,p038,0,9.66,4.83,100.0,1.0,1.0,0,31.0,1.0
7,0,p038,1,18.46,9.23,100.0,1.0,1.0,0,36.0,1.0
7,0,p038,2,9.5,4.75,100.0,1.0,1.0,0,30.0,1.0
7,0,p038,3,3.8600000000000003,1.9300000000000002,100.0,1.0,1.0,0,26.0,0.0
7,0,p038,4,9.18,4.59,100.0,1.0,1.0,0,28.0,1.0
7,0,p038,5,9.04,4.52,100.0,1.0,1.0,0,29.0,1.0
7,0,p038,6,9.04,4.52,100.0,1.0,1.0,0,29.0,1.0
7,0,p038,7,9.66,4.83,100.0,1.0,1.0,0,31.0,1.0
7,0,p038,8,9.04,4.52,100.0,1.0,1.0,0,29.0,1.0
7,0,p038,9,15.14,7.57,100.0,1.0,1.0,0,34.0,2.0
7,0,p038,10,14.68,7.34,100.0,1.0,1.0,0,33.0,2.0
7,0,p038,11,11.4,5.7,20.0,0.0,0.0,0,10.0,1.0
7,0,p038,12,3.8600000000000003,1.9300000000000002,100.0,1.0,1.0,0,26.0,0.0
7,0,p038,13,25.799999999999997,12.899999999999999,100.0,1.0,1.0,0,40.0,4.0
7,0,p038,14,9.5,4.75,100.0,1.0,1.0,0,30.0,1.0
7,0,p038,15,20.22,10.11,20.0,0.0,0.0,0,17.0,1.0
7,0,p039,0,9.5,4.75,100.0,1.0,1.0,0,30.0,1.0
7,0,p039,1,9.18,4.59,100.0,1.0,1.0,0,28.0,1.0
7,0,p039,2,9.5,4.75,100.0,1.0,1.0,0,30.0,1.0
7,0,p039,3,18.619999999999997,9.309999999999999,100.0,1.0,1.0,0,37.0,1.0
7,0,p039,4,9.34,4.67,100.0,1.0,1.0,0,29.0,1.0
7,0,p039,5,9.34,4.67,100.0,1.0,1.0,0,29.0,1.0
7,0,p039,6,14.68,7.34,100.0,1.0,1.0,0,33.0,2.0
7,0,p039,7,26.96,13.48,98.0,1.0,1.0,0,41.0,1.0
7,0,p039,8,14.36,7.18,100.0,1.0,1.0,0,31.0,2.0
7,0,p039,9,3.8600000000000003,1.9300000000000002,100.0,1.0,1.0,0,26.0,0.0
7,0,p039,10,9.04,4.52,100.0,1.0,1.0,0,29.0,1.0
7,0,p039,11,18.0,9.0,100.0,1.0,1.0,0,35.0,1.0
7,0,p039,12,26.1,13.05,100.0,1.0,1.0,0,40.0,4.0
7,0,p039,13,9.18,4.59,100.0,1.0,1.0,0,28.0,1.0
7,0,p039,14,9.18,4.59,100.0,1.0,1.0,0,28.0,1.0
7,0,p039,15,9.04,4.52,100.0,1.0,1.0,0,29.0,1.0
7,0,p040,0,9.04,4.52,100.0,1.0,1.0,0,29.0,1.0
7,0,p040,1,9.66,4.83,100.0,1.0,1.0,0,31.0,1.0
7,0,p040,2,35.44,17.72,18.0,0.0,0.0,0,29.0,2.0
7,0,p040,3,25.64,12.82,100.0,1.0,1.0,0,39.0,4.0
7,0,p040,4,11.4,5.7,20.0,0.0,0.0,0,10.0,1.0
7,0,p040,5,29.18,14.59,17.5,0.0,0.0,1,23.0,1.0
7,0,p040,6,9.18,4.59,100.0,1.0,1.0,0,28.0,1.0
7,0,p040,7,9.5,4.75,100.0,1.0,1.0,0,30.0,1.0
7,0,p040,8,9.18,4.59,100.0,1.0,1.0,0,28.0,1.0
7,0,p040,9,9.66,4.83,100.0,1.0,1.0,0,31.0,1.0
7,0,p040,10,9.04,4.52,100.0,1.0,1.0,0,29.0,1.0
7,0,p040,11,9.66,4.83,100.0,1.0,1.0,0,31.0,1.0
7,0,p040,12,17.36,8.68,20.0,0.0,0.0,1,16.0,2.0
7,0,p040,13,14.66,7.33,100.0,1.0,1.0,0,31.0,2.0
7,0,p040,14,15.14,7.57,100.0,1.0,1.0,0,34.0,2.0
7,0,p040,15,9.66,4.83,100.0,1.0,1.0,0,31.0,1.0
7,0,p041,0,9.04,4.52,100.0,1.0,1.0,0,29.0,1.0
7,0,p041,1,9.34,4.67,100.0,1.0,1.0,0,29.0,1.0
7,0,p041,2,18.0,9.0,100.0,1.0,1.0,0,35.0,1.0
